Title,Release Date,Team,Rating,Summary,Genre 1,Genre 2,Times Listed Clean,Number of Reviews Clean,Plays Clean,Backlogs Clean,Wishlist Clean
Persona 5 Royal,2019-10-31,"Atlus USA, Atlus",4.4,An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.,Adventure, RPG,2700,2700,12000,5100,3000
Stray,2022-07-19,"BlueTwelve Studio, Annapurna Interactive",3.7,"Lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find the way home.",Adventure, Indie,1500,1500,7700,2500,3400
God of War,2018-04-20,"Sony Interactive Entertainment, SIE Santa Monica Studio",4.2,"God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.",Adventure, Brawler,2900,2900,21000,4800,2600
Portal 2,2011-04-18,"Valve, Electronic Arts",4.4,"Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.",Adventure, Platform,2900,2900,29000,3900,1200
Bloodborne,2015-03-24,"FromSoftware, Sony Computer Entertainment",4.5,"An action RPG in which the player embodies a Hunter who, after being transfused with the mysterious blood local to the city of Yharnam, sets off into a ""night of the Hunt"", an extended night in which Hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful Hunters, uncover the answers to the Hunt's many mysteries.",Adventure, RPG,3400,3400,17000,5600,3300
Celeste,2018-01-25,"Extremely OK Games, Maddy Makes Games",4.2,"Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain.",Adventure, Indie,2800,2800,20000,5900,2000
Yakuza 0,2015-03-12,"Ryū Ga Gotoku Studios, Sega",4.4,"The glitz, glamour, and unbridled decadence of the 80s are back! Yakuza 0 is a prequel set in 1988 to the Yakuza series, taking place before the first game. Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima. Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. Then, step into the silver-toed shoes of Goro Majima and explore his “normal” life as the proprietor of a cabaret club.",Adventure, Brawler,2700,2700,15000,6400,2000
Red Dead Redemption 2,2018-10-26,"Take-Two Interactive, Rockstar Games",4.4,"Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age.",Adventure, RPG,2900,2900,19000,5500,2900
Portal,2007-10-10,"Valve, Electronic Arts",4.1,"Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom.",Platform, Puzzle,2000,2000,28000,2700,1100
Super Mario Odyssey,2017-10-27,Nintendo,4.2,"Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!",Adventure, Platform,2900,2900,25000,2900,2000
Pokémon Legends: Arceus,2022-01-28,"Nintendo, Game Freak",3.7,"The Pokémon Legends: Arceus game honors past Pokémon games’ core gameplay while infusing new action and RPG elements.
             

              You’ll need to catch, survey, and research wild Pokémon in a long-gone era of the Sinnoh region to create and complete the region’s first Pokédex.",Adventure, RPG,1600,1600,9100,2500,2100
Hi-Fi Rush,2023-01-25,"Tango Gameworks, Bethesda Softworks",4.3,"As wannabe rockstar Chai, you’ll fight back against a sinister robotics enhancement conglomerate using rhythm-amplified combat where everything – from the motion in the environment to the blows of combat – is synced to the music.",Adventure, Brawler,926,926,3000,1500,2000
Metal Gear Rising: Revengeance,2013-02-19,"Konami, PlatinumGames",4.1,"Developed by Kojima Productions and PlatinumGames, Metal Gear Rising: Revengeance takes the renowned Metal Gear franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path!
             

              A huge success on both Xbox 360 and PlayStation3, Metal Gear Rising: Revengeance comes to PC with all the famed moves and action running within a beautifully-realized HD environment.
             

              This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja.
             

              ""CUTSCENES"" option added to the Main Menu. Play any and all cutscenes.
             

              ""CODECS"" option added to the Main Menu. Play all and any codec conversation scenes.
             

              Menu option added to the CHAPTER Menu enabling user to play only the Boss battles.
             

              ""GRAPHIC OPTIONS"" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc.
              
              There is an option reading ""ZANGEKI"" that will modify the amount of cuts you can make.",Adventure, Brawler,2100,2100,14000,4200,2000
Grand Theft Auto V,2013-09-17,"Rockstar North, Rockstar Games",3.8,"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.",Adventure, Shooter,2100,2100,30000,3200,664
Cyberpunk 2077,2020-12-09,CD Projekt RED,3.3,"Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you.",Adventure, RPG,1500,1500,13000,4700,2900
God of War Ragnarök,2022-11-09,"Sony Interactive Entertainment, SIE Santa Monica Studio",4.4,"God of War: Ragnarök is the ninth installment in the God of War series and the sequel to 2018's God of War. Continuing with the Norse mythology theme, the game is set in ancient Norway and feature series protagonists Kratos, the former Greek God of War, and his young son Atreus. The game is expected to kick off the events of Ragnarök, where Kratos and Atreus must journey to each of the Nine Realms in search of answers as they prepare for the prophesied battle that will end the world.",Adventure, Brawler,1700,1700,5300,2000,3300
Xenoblade Chronicles 3,2022-07-29,"Monolith Soft, Nintendo",4.4,"A vast world awaits in Xenoblade Chronicles 3, the next game in the acclaimed RPG series from developer Monolithsoft. Players will step into the roles of protagonists Noah and Mio amid turmoil between the hostile nations of Keves and Agnus. Six characters hailing from those nations will take part in a grand tale with “life” as its central theme. Explore a new world that will connect the futures of both Xenoblade Chronicles and Xenoblade Chronicles 2.",Adventure, RPG,1400,1400,3900,2100,2200
Kirby and the Forgotten Land,2022-03-25,"HAL Laboratory, Nintendo",4.2,"Join Kirby in an unforgettable journey through a mysterious world in a delightful 3D platforming adventure. Take control of the powerful pink puffball, Kirby, and move around freely in 3D stages as you discover a mysterious world with abandoned structures from a past civilization - like a shopping mall?! Copy enemies’ abilities like Sword and Ice and use them to attack and explore your surroundings! What journey awaits Kirby? Take a deep breath and get ready for an unforgettable adventure!",Adventure, Platform,1600,1600,5900,2500,3100
Disco Elysium: The Final Cut,2020-05-01,ZA/UM,4.6,"Disco Elysium: The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being. The Final Cut adds full voice acting to the game, as well as new quests, more characters and fresh explorable areas.",Adventure, Indie,1100,1100,6000,5000,2700
Marvel's Spider-Man,2018-09-07,"Insomniac Games, Sony Interactive Entertainment",4.1,"Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before.",Adventure, Brawler,2500,2500,21000,2900,2200
Dark Souls III,2016-03-24,"Bandai Namco Entertainment, FromSoftware",4.2,"Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and embrace the darkness!",Adventure, RPG,2400,2400,19000,4300,2200
NieR Replicant ver.1.22474487139...,2021-04-22,"Toylogic, Square Enix",4.2,"NieR Replicant ver.1.22474487139... is an updated version of NieR Replicant, previously only released in Japan. Discover the one-of-a-kind prequel to the critically-acclaimed masterpiece NieR: Automata. Now with a modern upgrade, experience masterfully revived visuals, a fascinating storyline and more!",Adventure, RPG,1500,1500,6700,4100,3700
Super Mario 64,1996-06-23,"Nintendo, Nintendo EAD",4.1,"The first three dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his arch rival Bowser. Mario has to jump into worlds-within-paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for platforming trials.",Adventure, Platform,2600,2600,21000,2500,775
Super Smash Bros. Ultimate,2018-12-07,"Sora, Nintendo",4.1,"Legendary game worlds and fighters collide in the ultimate showdown—a new entry in the Super Smash Bros. series for the Nintendo Switch system! New fighters, like Inkling from the Splatoon series and Ridley from the Metroid series, make their Super Smash Bros. series debut alongside every Super Smash Bros. fighter in the series…EVER! Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go.",Fighting, Platform,2500,2500,25000,1100,801
Cuphead,2017-09-29,Studio MDHR,4.1,"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. Play as Cuphead or Mugman (in single player or co-op) as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. Cuphead is all action, all the time.",Arcade, Indie,1900,1900,18000,4500,2600
Sekiro: Shadows Die Twice,2019-03-22,"FromSoftware, Activision",4.4,"Enter a dark and brutal new gameplay experience from the creators of Bloodborne and the Dark Souls series. Sekiro: Shadows Die Twice is an intense, third-person, action-adventure set against the bloody backdrop of 14th-century Japan. Step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch nemesis.
             

              Take Revenge. Restore Your Honor. Kill Ingeniously.",Adventure, Brawler,2300,2300,14000,4800,3400
Final Fantasy VII,1997-01-31,"Square, Eidos Interactive",4.2,"Final Fantasy VII is the seventh main installment in the Final Fantasy series, and was the first title to feature three-dimensional graphics, pre-rendered backgrounds and numerous full motion videos.
             

              The gameplay is a departure from previous entries in the series in many ways. Though it retains the Active Time Battle pseudo-turn based menu command system, FFVII features three party members rather than four. The Materia system allows the player to customize each party member's abilities to their liking, and the Limit system grants them unique combat skills.
             

              Though minigames had been a recurring feature, FFVII introduces numerous new ones, many of them playable in the theme park Gold Saucer varying from racing with Chocobos to snowboarding.",Adventure, RPG,2900,2900,15000,5000,1500
Persona 4 Golden,2012-06-15,"NIS America, Atlus",4.2,"An enhanced rerelease of Shin Megami Tensei: Persona 4 (2008) featuring quality-of-life improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame.",Adventure, RPG,1900,1900,13000,5200,2200
Genshin Impact,2020-09-28,"miHoYo, HoYoverse",2.6,"Genshin Impact is an open-world action RPG, where you embark on a journey across Teyvat to find your lost sibling and seek answers from The Seven, the gods of each element. Explore this wondrous world, join forces with a diverse range of characters, and unravel the countless mysteries that Teyvat holds...",Adventure, RPG,653,653,14000,1300,280
Signalis,2022-10-27,"rose-engine, Humble Games",4.2,"Signalis is a classic survival horror experience with a unique aesthetic, full of melancholic mystery. Investigate a dark secret, solve puzzles, fight off nightmarish creatures and navigate dystopian, surreal retrotech worlds as Elster, a technician Replika searching for her lost dreams.",Adventure, Indie,820,820,2200,1900,2200
Resident Evil Village,2021-05-06,Capcom,3.9,"Resident Evil Village is a first person survival horror and the sequel to Resident Evil 7: Biohazard. The game maintains elements from previous Resident Evil games with players having to scavenge environments for items and manage their resources. However, it adds more action-oriented gameplay, with higher enemy counts and a greater emphasis on combat.",Adventure, Shooter,1800,1800,9900,2800,2800
Super Mario Galaxy,2007-11-01,"Nintendo EAD, Nintendo",4.3,"A 3D platformer and first Wii entry in the Super Mario franchise, Super Mario Galaxy sees Mario jump across planets and galaxies with varying items, enemies, geographies and gravity mechanics in order to reach his enemy Bowser, who has attacked the Mushroom Kingdom and hijacked Princess Peach's castle with her inside.",Adventure, Platform,2700,2700,21000,3100,1200
Fallout: New Vegas,2010-10-19,"Obsidian Entertainment, Bandai Namco Entertainment",4.3,"In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.",RPG, Shooter,2000,2000,16000,5000,1400
Outer Wilds,2019-05-28,"Mobius Digital, Annapurna Interactive",4.6,"Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop. The newest member of the space program in a small village on the planet Timber Hearth, the player navigates a space shuttle and travels across their solar system to get to the bottom of its mysteries by exploring the cosmos and gathering the knowledge hidden within each of the system's planets, left behind by another civilization in the distant past.",Adventure, Indie,1800,1800,7700,4800,3100
Resident Evil 2,2019-01-25,"Capcom, Capcom Development Division 1",4.3,"Resident Evil 2 is a remake of 1998's Resident Evil 2. The game was not developed with the intent of improving the original, but rather a reimagining of the original story with redesigned maps, characters and story elements. Gameplay mechanics are more similar to Resident Evil 7: Biohazard though with the use of an over-the-shoulder camera.",Adventure, Shooter,2500,2500,15000,3600,1900
Doom,2016-05-12,"id Software, Bethesda Softworks",4.0,"Developed by id software, the studio that pioneered the first-person shooter genre and created multiplayer Deathmatch, Doom returns as a brutally fun and challenging modern-day shooter experience. Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Expand your gameplay experience using Doom SnapMap game editor to easily create, play, and share your content with the world.",Shooter,,1800,1800,18000,4000,1400
Shin Megami Tensei V,2021-11-12,"Atlus, Sega",3.8,"Shin Megami Tensei V, the fifth numbered game of the Shin Megami Tensei series, is a role-playing video game set in modern-day Tokyo. It will feature returning gameplay elements from previous games, such as the ability to fuse demons, along with new mechanics.",Adventure, RPG,1100,1100,4100,3400,2600
Bayonetta,2009-10-29,"Nex Entertainment, Sega",3.9,"A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless angelic enemies, many reaching epic proportions, in a game of 100% pure, unadulterated all-out action. Outlandish finishing moves are performed with balletic grace as Bayonetta flows from one fight to another. With magnificent over-the-top action taking place in stages that are a veritable theme park of exciting attractions, Bayonetta pushes the limits of the action genre, bringing to life its fast-paced, dynamic climax combat.",Brawler, Shooter,1700,1700,13000,5000,2300
Stardew Valley,2016-02-26,"ConcernedApe, Chucklefish Games",4.1,"Stardew Valley is an open-ended country-life RPG! Youâ€™ve inherited your grandfatherâ€™s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It wonâ€™t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the townâ€™s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!",Indie, RPG,1700,1700,20000,3600,1100
The Last of Us Part II,2020-06-19,"Naughty Dog, Sony Interactive Entertainment",4.1,"The Last of Us Part II is an action-adventure game set five years after the events of The Last of Us. The player traverses post-apocalyptic environments such as buildings and forests to advance the story. He can use firearms, improvised weapons, and stealth to defend against hostile humans and cannibalistic creatures infected by a mutated strain of the Cordyceps fungus. The game intermittently switches control between Ellie and Abby, and also briefly Joel in the opening sequence. The nimble nature of the player character introduces platforming elements, allowing the player to jump and climb to traverse environments and gain advantages during combat.",Adventure, Shooter,2500,2500,13000,2800,2500
Silent Hill 2,2001-09-24,"Team Silent, Konami",4.5,"The second entry in the Silent Hill franchise, Silent Hill 2 is a narrative-focused third-person psychological horror game with exploration and puzzle-solving elements which follows James Sunderland, a man who receives a letter, seemingly sent by his three-years-deceased wife Mary, in which he is beckoned to the fog-ridden town of Silent Hill at the same time as numerous other people troubled by their past.",Adventure, Puzzle,2200,2200,8600,2900,2100
The Witcher 3: Wild Hunt,2015-05-19,"WB Games, CD Projekt RED",4.3,"RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.",Adventure, RPG,2000,2000,17000,6100,1600
Persona 5,2016-09-15,"Atlus, Atlus USA",4.1,"Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit. Soon he meets several characters who share similar fates to him, and discovers a metaphysical realm which allows him and his friends to channel their pent-up frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption.",Adventure, RPG,1800,1800,16000,2800,1700
Doom Eternal,2020-03-19,"Bethesda Softworks, id Software",4.2,Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,Shooter,,1900,1900,12000,4600,2400
The Elder Scrolls V: Skyrim,2011-11-10,"Bethesda Game Studios, Bethesda Softworks",3.7,"Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before.",Adventure, RPG,1700,1700,22000,3000,1000
Neon White,2022-06-16,"Ben Esposito, Annapurna Interactive",4.1,"Neon White is a lightning fast first-person action game about exterminating demons in Heaven. You are White, an assassin handpicked from Hell to compete with other demon slayers for a chance to live permanently in Heaven. The other assassins seem familiar, though… did you know them in a past life?",Indie, Platform,868,868,2900,1800,2300
Devil May Cry 5,2019-03-08,"Capcom, Capcom Development Division 1",4.3,"Devil May Cry 5 is a brand-new entry in the legendary over-the-top action series Devil May Cry. The game features three playable characters, each with a radically different stylish combat play style as they take on the city overrun with demons. Developed with Capcom’s in-house proprietary RE engine, the series continues to achieve new heights in fidelity with graphics that utilize photorealistic character designs and stunning lighting and environmental effects.",Adventure, Brawler,1900,1900,12000,4100,2400
Overwatch 2,2022-10-04,Blizzard Entertainment,2.7,"Reunite and stand together in a new age of heroes. Overwatch 2 builds on an award-winning foundation of epic competitive play, and challenges the world’s heroes to team up, power up, and take on an overwhelming outbreak of threats around the globe.",Shooter,,491,491,6600,292,171
Resident Evil 4,2005-01-11,"Capcom, Capcom Production Studio 4",4.3,"Resident Evil 4 is the sixth installment of the Resident Evil series praised as a revolution from the core games. It was the first title to implement a third-person view rather than the original fixed camera angles its predecessors had. Its mechanics have been completely revamped to incorporate fast-paced gunplay, quick controls and shoot-outs involving massive crowds of enemies in more open areas. The brand-new AI system and open environments allow enemies to work together to capture and corner Leon. Enemies are now humans, which allows them to climb up ladders, open doors, and use weapons throughout the game. Resident Evil 4 had one of the most tormented developments in any game, four proposed versions of the game were discarded by the developers before the finished product was released.",Shooter,,2300,2300,14000,3000,1200
Final Fantasy VII Remake,2020-04-10,Square Enix,4.1,"A spectacular re-imagining of one of the most visionary games ever, Final Fantasy VII Remake rebuilds and expands the legendary RPG for today. The first game in this project is set in the eclectic city of Midgar and presents a fully standalone gaming experience.",Adventure, RPG,2000,2000,12000,4200,2200
Sonic Frontiers,2022-11-08,"Sega, Sonic Team",3.6,"Worlds will collide in Sonic the Hedgehog’s newest adventure.
             

              An experience like never before, accelerate to new heights and experience the thrill of high velocity open-zone freedom. Battle powerful enemies as you speed through the Starfall Islands - landscapes brimming with dense forests, overflowing waterfalls, sizzling deserts and more!",Adventure, Platform,974,974,2900,1300,1800
Inscryption,2021-10-19,"Devolver Digital, Daniel Mullins Games",4.1,"Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...",Adventure, Card & Board Game,1000,1000,5400,2300,2300
Tunic,2022-03-16,"Andrew Shouldice, Finji",3.9,"Tunic is an action adventure about a tiny fox in a big world. Explore the wilderness, discover spooky ruins, and fight terrible creatures from long ago.",Adventure, Indie,891,891,3400,2400,2600
Dark Souls,2011-09-22,"FromSoftware, Bandai Namco Entertainment",4.3,"An action RPG and spiritual sequel to Demon's Souls in which the player embodies the Chosen Undead, who is tasked with fulfilling an ancient prophecy by ringing the Bells of Awakening in the dark fantasy setting of Lordran, an open world with intricate areas full of beasts, former humans gone hollow, and magical abominations whom the player must overcome in challenging and unforgiving combat.",Adventure, RPG,2100,2100,14000,2500,1400
The Legend of Zelda: Ocarina of Time,1998-11-21,"Nintendo, Nintendo EAD",4.3,"The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex.",Adventure, RPG,2200,2200,17000,3000,1400
Deltarune: Chapter 2,2021-09-17,"8-4, tobyfox",4.3,"Deltarune: Chapter 2 is the next installment of the sequel to beloved indie darling Undertale...in a different world! This time around, two more classmates join the protagonists in their adventure as they, too, discover a mysterious world hidden behind a door, called the ""Cyber World"".
             

              Players with no save data will be able to start right at Chapter 2. “As long as you generally remember what happened story-wise, you’ll be fine,” the developers said in an FAQ.",Adventure, Indie,737,737,7500,2100,753
Chrono Trigger,1995-03-11,Square,4.5,"In this turn-based Japanese RPG, young Crono must travel through time through a misfunctioning teleporter to rescue his misfortunate companion and take part in an intricate web of past and present perils. The adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future.",Adventure, RPG,1900,1900,9100,4900,2200
Metal Gear Solid 2: Sons of Liberty,2001-11-13,"Konami Computer Entertainment Japan, Konami",4.4,"Metal Gear Solid 2: Sons of Liberty is the sequel to the espionage action game Metal Gear Solid. Much of the gameplay remains the same, as the game's protagonist has to sneak past guards, outsmart them using various gadgets and defeat the tricky boss enemies. The game expanded its predecessor's cover mechanic, with Solid Snake or Raiden able to take cover behind walls or objects and pop out to shoot at enemies, while the improved enemy AI allowed enemies to also take cover from the player. Metal Gear Solid 2 is considered to be one of the greatest video games of all time, as well as a leading example of artistic expression in video games.",Adventure,,1800,1800,10000,2600,1400
Super Mario World,1990-11-21,"Nintendo, Nintendo EAD",4.2,"A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.",Adventure, Platform,2100,2100,18000,1700,460
